3 1 M1-T1-S
3 2 M1-T2-S
3 3 M1-T3-S
3 4 M1-T4-S
3 5 M2-T1-S
3 6 M2-T2-S
3 7 M2-T3-S
3 8 M2-T4-S
3 9 M3-T1-S
3 10 M3-T2-S
3 11 M3-T3-S
3 12 M3-T4-S
3 13 M4-T1-S
3 14 M4-T2-S
3 15 M4-T3-S
3 16 M4-T4-S
3 17 M5-T1-S
3 18 M5-T2-S
3 19 M5-T4-S
3 20 M6-T1-S
3 21 M6-T2-S
3 22 M6-T3-S
3 23 M6-T4-S
3 24 M7-T1-S
3 25 M7-T2-S
3 26 M7-T3-S
3 27 M7-T4-S
3 28 M8-T1-S
3 29 M8-T2-S
3 30 M8-T3-S
3 31 M8-T4-S
10 1 M9-T1-S
10 2 M9-T2-S
10 3 M9-T3-S
10 4 M9-T4-S
4 1 M1-T1-C
4 2 M1-T2-C
4 3 M1-T3-C
4 4 M1-T4-C
4 5 M2-T1-C
4 6 M2-T2-C
4 7 M2-T3-C
4 8 M2-T4-C
4 9 M3-T1-C
4 10 M3-T2-C
4 11 M3-T3-C
4 12 M3-T4-C
4 13 M4-T1-C
4 14 M4-T2-C
4 15 M4-T3-C
4 16 M4-T4-C
4 17 M5-T1-C
4 18 M5-T2-C
4 19 M5-T4-C
4 20 M6-T1-C
4 21 M6-T2-C
4 22 M6-T3-C
4 23 M6-T4-C
4 24 M7-T1-C
4 25 M7-T2-C
4 26 M7-T3-C
4 27 M7-T4-C
4 28 M8-T1-C
4 29 M8-T2-C
4 30 M8-T3-C
4 31 M8-T4-C
10 5 M9-T1-C
10 6 M9-T2-C
10 7 M9-T3-C
10 8 M9-T4-C
5 1 M5-T3-S
5 2 M5-T3-C
6 1 PS
6 2 MC
6 3 CC1
6 4 CC2
6 5 TC
6 6 LC1
6 7 LC2
6 8 LC3
6 9 LC4
7 1 DWC1R
7 2 DWC1L
7 3 DWC1U
7 4 DWC1D
7 5 DWC2R
7 6 DWC2L
7 7 DWC2U
7 8 DWC2D
9 1 Trg1
9 2 Trg2
9 3 VETO
9 4 trg1NIM
9 5 trg2NIM
9 6 VETONIM
9 7 COIN
